trade_id,entry_time,exit_time,pnl,mae,mfe
42,2024-01-04 21:30:00,2024-01-05 14:30:00,7.3887,1.2129,8.7579
43,2024-01-04 23:30:00,2024-01-05 08:30:00,0.4887,1.7915,1.9918
44,2024-01-05 01:30:00,2024-01-05 03:30:00,4.5766,8.4,6.5729
45,2024-01-05 03:30:00,2024-01-06 02:30:00,-3.0088,3.0266,1.3864
46,2024-01-05 05:30:00,2024-01-05 16:30:00,4.3298,3.4858,6.1145
47,2024-01-05 07:30:00,2024-01-06 04:30:00,-3.31,6.0904,3.5436
48,2024-01-05 09:30:00,2024-01-06 01:30:00,5.9533,0.2314,7.2088
49,2024-01-05 11:30:00,2024-01-06 05:30:00,11.5532,2.4834,18.0793
50,2024-01-05 13:30:00,2024-01-06 07:30:00,-0.1104,0.7669,1.1883
51,2024-01-05 15:30:00,2024-01-05 20:30:00,-10.4627,11.3893,2.6596
52,2024-01-05 17:30:00,2024-01-06 02:30:00,-2.2404,5.2242,0.4595
53,2024-01-05 19:30:00,2024-01-06 06:30:00,6.6594,1.9267,10.031
54,2024-01-05 21:30:00,2024-01-06 09:30:00,3.2654,4.6973,8.0737
55,2024-01-05 23:30:00,2024-01-06 01:30:00,1.7446,2.1723,6.2612
56,2024-01-06 01:30:00,2024-01-06 14:30:00,5.5433,5.2715,5.879
57,2024-01-06 03:30:00,2024-01-06 07:30:00,2.9223,3.741,4.7584
58,2024-01-06 05:30:00,2024-01-06 23:30:00,6.5886,1.8214,9.2801
59,2024-01-06 07:30:00,2024-01-06 23:30:00,5.0971,0.1162,5.2765
60,2024-01-06 09:30:00,2024-01-07 07:30:00,8.1085,0.5412,11.6224
61,2024-01-06 11:30:00,2024-01-07 05:30:00,2.294,2.4115,2.6973
62,2024-01-06 13:30:00,2024-01-06 22:30:00,5.0263,1.1988,5.2726
63,2024-01-06 15:30:00,2024-01-07 14:30:00,-1.0356,3.4736,0.3193
64,2024-01-06 17:30:00,2024-01-07 03:30:00,-2.5073,9.6536,4.9102
65,2024-01-06 19:30:00,2024-01-07 03:30:00,9.0338,3.585,10.6746
66,2024-01-06 21:30:00,2024-01-07 18:30:00,1.581,0.5946,4.484
67,2024-01-06 23:30:00,2024-01-07 08:30:00,4.5244,2.3181,6.9993
68,2024-01-07 01:30:00,2024-01-07 03:30:00,1.1187,1.3803,6.0001
69,2024-01-07 03:30:00,2024-01-07 14:30:00,-2.4326,6.8679,1.6006
70,2024-01-07 05:30:00,2024-01-08 00:30:00,0.5549,1.3382,4.9283
71,2024-01-07 07:30:00,2024-01-07 12:30:00,7.68,3.626,9.1633
72,2024-01-07 09:30:00,2024-01-07 20:30:00,3.2762,1.4566,6.5794
73,2024-01-07 11:30:00,2024-01-07 14:30:00,-8.0574,12.2084,2.5088
74,2024-01-07 13:30:00,2024-01-08 05:30:00,-0.5762,3.368,5.9148
75,2024-01-07 15:30:00,2024-01-08 02:30:00,9.4115,6.8125,12.5441
76,2024-01-07 17:30:00,2024-01-08 01:30:00,-0.569,1.9064,3.2935
77,2024-01-07 19:30:00,2024-01-08 01:30:00,-8.5024,12.8836,3.4265
78,2024-01-07 21:30:00,2024-01-08 10:30:00,9.9652,1.1834,10.3904
79,2024-01-07 23:30:00,2024-01-08 15:30:00,3.912,1.6525,10.3811
80,2024-01-08 01:30:00,2024-01-08 23:30:00,0.1499,1.2767,0.7703
81,2024-01-08 03:30:00,2024-01-08 14:30:00,-1.3571,4.1239,3.2626
82,2024-01-08 05:30:00,2024-01-08 09:30:00,5.9118,3.3726,9.6957
83,2024-01-08 07:30:00,2024-01-09 03:30:00,-2.2099,7.385,7.1562
84,2024-01-08 09:30:00,2024-01-09 00:30:00,6.2413,6.2238,7.2902
85,2024-01-08 11:30:00,2024-01-09 04:30:00,3.211,2.9955,3.2514
86,2024-01-08 13:30:00,2024-01-08 16:30:00,1.7234,7.141,4.2178
87,2024-01-08 15:30:00,2024-01-08 23:30:00,1.2276,2.2789,7.8847
88,2024-01-08 17:30:00,2024-01-09 11:30:00,-0.3748,5.6072,3.2642
89,2024-01-08 19:30:00,2024-01-09 15:30:00,5.7282,3.2862,9.0874
90,2024-01-08 21:30:00,2024-01-09 08:30:00,-3.8267,4.1791,11.3501
91,2024-01-08 23:30:00,2024-01-09 18:30:00,-7.6096,10.1533,2.9751
92,2024-01-09 01:30:00,2024-01-09 21:30:00,3.5722,3.5095,5.4792
93,2024-01-09 03:30:00,2024-01-09 12:30:00,3.6562,1.9034,5.0685
94,2024-01-09 05:30:00,2024-01-10 02:30:00,2.9012,3.2386,3.8256
95,2024-01-09 07:30:00,2024-01-09 14:30:00,2.5386,4.5961,3.351
96,2024-01-09 09:30:00,2024-01-09 15:30:00,-1.1027,3.0326,0.7922
97,2024-01-09 11:30:00,2024-01-10 03:30:00,4.4374,6.8317,4.6763
98,2024-01-09 13:30:00,2024-01-10 04:30:00,0.2722,7.0348,2.4521
99,2024-01-09 15:30:00,2024-01-09 19:30:00,-1.9356,3.0428,6.7775
100,2024-01-09 17:30:00,2024-01-10 13:30:00,-1.0595,1.5293,2.8965
101,2024-01-09 19:30:00,2024-01-10 00:30:00,10.6032,1.3723,11.9268
102,2024-01-09 21:30:00,2024-01-10 16:30:00,-8.1749,9.1655,4.2729
103,2024-01-09 23:30:00,2024-01-10 00:30:00,2.9989,0.3118,6.4121
104,2024-01-10 01:30:00,2024-01-10 20:30:00,-7.8956,8.1066,2.8271
105,2024-01-10 03:30:00,2024-01-10 22:30:00,-0.0412,0.0875,4.055
106,2024-01-10 05:30:00,2024-01-10 23:30:00,-1.6681,5.2574,2.4018
107,2024-01-10 07:30:00,2024-01-10 23:30:00,-9.9251,18.0162,4.0107
108,2024-01-10 09:30:00,2024-01-10 20:30:00,2.4452,4.4617,6.7045
109,2024-01-10 11:30:00,2024-01-11 04:30:00,-1.4002,6.768,2.4882
110,2024-01-10 13:30:00,2024-01-10 20:30:00,-9.996,10.8638,1.3388
111,2024-01-10 15:30:00,2024-01-11 09:30:00,4.6978,2.314,11.289
112,2024-01-10 17:30:00,2024-01-11 06:30:00,7.675,3.2794,8.2413
113,2024-01-10 19:30:00,2024-01-11 06:30:00,7.9506,0.0213,11.1246
114,2024-01-10 21:30:00,2024-01-11 09:30:00,2.2948,0.7228,5.5365
115,2024-01-10 23:30:00,2024-01-11 13:30:00,0.7303,4.5637,0.9016
116,2024-01-11 01:30:00,2024-01-11 02:30:00,7.1408,5.2709,7.5643
117,2024-01-11 03:30:00,2024-01-11 07:30:00,8.9119,2.2022,9.8504
118,2024-01-11 05:30:00,2024-01-11 11:30:00,6.1678,1.5855,6.6912
119,2024-01-11 07:30:00,2024-01-11 10:30:00,-4.2077,5.3209,2.3744
120,2024-01-11 09:30:00,2024-01-11 20:30:00,1.5067,2.324,1.5522
121,2024-01-11 11:30:00,2024-01-12 03:30:00,2.6976,2.2256,5.4962
122,2024-01-11 13:30:00,2024-01-12 05:30:00,-8.5481,11.3143,5.7978
123,2024-01-11 15:30:00,2024-01-12 02:30:00,2.8468,1.1879,6.51
124,2024-01-11 17:30:00,2024-01-12 13:30:00,11.865,2.7251,17.6636
125,2024-01-11 19:30:00,2024-01-12 09:30:00,3.6997,3.2507,7.6236
126,2024-01-11 21:30:00,2024-01-11 23:30:00,7.8671,2.7706,8.1926
127,2024-01-11 23:30:00,2024-01-12 17:30:00,1.4146,1.6046,4.7738
128,2024-01-12 01:30:00,2024-01-12 15:30:00,0.1339,1.2402,2.0915
129,2024-01-12 03:30:00,2024-01-12 18:30:00,2.4064,3.2295,3.8283
130,2024-01-12 05:30:00,2024-01-12 19:30:00,-3.5791,10.3153,1.6933
131,2024-01-12 07:30:00,2024-01-12 20:30:00,-4.3189,5.5031,1.9327
132,2024-01-12 09:30:00,2024-01-12 12:30:00,6.8315,3.6525,12.8647
133,2024-01-12 11:30:00,2024-01-13 00:30:00,7.3617,4.6345,9.3027
134,2024-01-12 13:30:00,2024-01-13 08:30:00,-4.4555,5.8656,5.2566
135,2024-01-12 15:30:00,2024-01-12 22:30:00,5.34,5.4452,10.1597
136,2024-01-12 17:30:00,2024-01-13 07:30:00,0.0652,5.6065,4.0663
137,2024-01-12 19:30:00,2024-01-12 20:30:00,2.199,6.1412,5.5589
138,2024-01-12 21:30:00,2024-01-13 05:30:00,2.8011,3.3753,8.151
139,2024-01-12 23:30:00,2024-01-13 10:30:00,5.4718,9.0804,6.098
140,2024-01-13 01:30:00,2024-01-14 00:30:00,0.9136,0.1542,5.0608
141,2024-01-13 03:30:00,2024-01-13 08:30:00,7.5508,8.3722,8.4684
142,2024-01-13 05:30:00,2024-01-13 12:30:00,2.0471,4.3049,3.6023
143,2024-01-13 07:30:00,2024-01-13 17:30:00,3.6209,6.0212,11.5501
144,2024-01-13 09:30:00,2024-01-14 08:30:00,-3.6663,4.7062,0.8709
145,2024-01-13 11:30:00,2024-01-14 07:30:00,11.2933,4.5334,16.7316
146,2024-01-13 13:30:00,2024-01-13 14:30:00,2.8491,6.2809,5.2044
147,2024-01-13 15:30:00,2024-01-13 21:30:00,4.065,1.2621,4.8046
148,2024-01-13 17:30:00,2024-01-14 12:30:00,-7.5409,9.051,1.8655
149,2024-01-13 19:30:00,2024-01-13 21:30:00,-3.6135,8.0373,1.9033
150,2024-01-13 21:30:00,2024-01-14 17:30:00,6.6894,1.465,8.6482
151,2024-01-13 23:30:00,2024-01-14 06:30:00,1.9345,0.448,3.1827
152,2024-01-14 01:30:00,2024-01-14 23:30:00,-9.0689,10.4156,0.8137
153,2024-01-14 03:30:00,2024-01-14 10:30:00,5.6914,10.7709,10.4673
154,2024-01-14 05:30:00,2024-01-14 15:30:00,-2.2189,9.3723,2.7626
155,2024-01-14 07:30:00,2024-01-14 23:30:00,7.5566,2.3183,10.0031
156,2024-01-14 09:30:00,2024-01-14 12:30:00,0.0608,3.6672,4.6153
157,2024-01-14 11:30:00,2024-01-15 00:30:00,1.5235,4.3968,3.5022
158,2024-01-14 13:30:00,2024-01-15 01:30:00,6.3948,0.9863,6.7682
159,2024-01-14 15:30:00,2024-01-15 10:30:00,-3.9875,6.5224,4.24
160,2024-01-14 17:30:00,2024-01-15 16:30:00,-4.4642,7.2922,1.4984
161,2024-01-14 19:30:00,2024-01-15 11:30:00,-0.4825,2.5223,1.497
162,2024-01-14 21:30:00,2024-01-15 07:30:00,4.6359,1.094,12.1793
163,2024-01-14 23:30:00,2024-01-15 09:30:00,-6.1544,8.6713,1.9481
164,2024-01-15 01:30:00,2024-01-15 11:30:00,-7.8402,10.1384,1.7558
165,2024-01-15 03:30:00,2024-01-15 22:30:00,4.6186,0.1257,5.4033
166,2024-01-15 05:30:00,2024-01-15 13:30:00,-2.5149,2.898,5.5399
167,2024-01-15 07:30:00,2024-01-15 11:30:00,-1.4611,3.1918,0.4254
168,2024-01-15 09:30:00,2024-01-15 17:30:00,-8.7841,13.4425,2.6349
169,2024-01-15 11:30:00,2024-01-15 12:30:00,-2.8949,4.6654,0.036
170,2024-01-15 13:30:00,2024-01-15 16:30:00,0.4622,6.8682,6.4425
171,2024-01-15 15:30:00,2024-01-15 18:30:00,5.1519,0.0875,9.6483
172,2024-01-15 17:30:00,2024-01-16 11:30:00,-3.3562,5.9355,1.235
173,2024-01-15 19:30:00,2024-01-16 12:30:00,8.7869,0.9371,14.9066
174,2024-01-15 21:30:00,2024-01-16 14:30:00,-2.9228,6.6867,4.2438
175,2024-01-15 23:30:00,2024-01-16 10:30:00,-2.9155,3.2602,1.2002
176,2024-01-16 01:30:00,2024-01-16 18:30:00,8.1868,7.7822,9.6891
177,2024-01-16 03:30:00,2024-01-16 07:30:00,1.5573,3.0718,4.5453
178,2024-01-16 05:30:00,2024-01-17 02:30:00,-2.2601,9.4066,0.4957
179,2024-01-16 07:30:00,2024-01-16 19:30:00,-0.2757,2.5456,2.0135
180,2024-01-16 09:30:00,2024-01-17 07:30:00,7.2654,3.6573,10.1909
181,2024-01-16 11:30:00,2024-01-16 15:30:00,7.831,6.0036,10.8919
182,2024-01-16 13:30:00,2024-01-17 01:30:00,-3.584,8.157,1.432
183,2024-01-16 15:30:00,2024-01-17 08:30:00,0.2878,0.1901,1.3787
184,2024-01-16 17:30:00,2024-01-17 05:30:00,0.9508,3.8003,6.035
185,2024-01-16 19:30:00,2024-01-17 06:30:00,-4.4312,12.0336,3.5335
186,2024-01-16 21:30:00,2024-01-17 01:30:00,0.2216,0.6619,1.0771
187,2024-01-16 23:30:00,2024-01-17 08:30:00,0.5266,8.3553,1.0814
188,2024-01-17 01:30:00,2024-01-17 07:30:00,6.201,3.1571,11.0813
189,2024-01-17 03:30:00,2024-01-17 10:30:00,6.5371,0.7003,8.4065
190,2024-01-17 05:30:00,2024-01-17 21:30:00,-1.146,1.8259,7.3883
191,2024-01-17 07:30:00,2024-01-17 22:30:00,-0.5698,1.8999,3.9866
192,2024-01-17 09:30:00,2024-01-17 23:30:00,3.8215,3.8658,4.5908
193,2024-01-17 11:30:00,2024-01-17 20:30:00,-2.4259,3.1802,2.719
194,2024-01-17 13:30:00,2024-01-18 12:30:00,3.4432,1.2112,4.381
195,2024-01-17 15:30:00,2024-01-17 18:30:00,0.0605,1.2232,4.6387
196,2024-01-17 17:30:00,2024-01-18 01:30:00,-4.347,8.5905,1.9966
197,2024-01-17 19:30:00,2024-01-17 22:30:00,-4.2842,5.6279,0.4711
198,2024-01-17 21:30:00,2024-01-18 05:30:00,7.7353,0.0926,11.1024
199,2024-01-17 23:30:00,2024-01-18 22:30:00,-0.2821,1.3061,5.6773
200,2024-01-18 01:30:00,2024-01-18 10:30:00,8.7018,3.0653,13.3077
201,2024-01-18 03:30:00,2024-01-19 00:30:00,-2.0682,4.2878,6.1234
202,2024-01-18 05:30:00,2024-01-18 17:30:00,1.956,0.1029,3.5356
203,2024-01-18 07:30:00,2024-01-19 00:30:00,12.4634,2.377,16.115
204,2024-01-18 09:30:00,2024-01-18 20:30:00,-4.7869,6.6349,7.0052
205,2024-01-18 11:30:00,2024-01-18 18:30:00,-8.9891,10.4075,2.5882
206,2024-01-18 13:30:00,2024-01-19 07:30:00,6.933,1.1345,8.8738
207,2024-01-18 15:30:00,2024-01-19 14:30:00,-3.634,7.3721,1.8023
208,2024-01-18 17:30:00,2024-01-19 00:30:00,0.3965,3.7164,4.2961
209,2024-01-18 19:30:00,2024-01-19 13:30:00,-2.4296,3.7397,0.3515
210,2024-01-18 21:30:00,2024-01-19 04:30:00,1.8408,4.0303,3.1649
211,2024-01-18 23:30:00,2024-01-19 16:30:00,-4.2527,5.1925,0.7607
212,2024-01-19 01:30:00,2024-01-19 20:30:00,-0.3997,1.2467,2.1008
213,2024-01-19 03:30:00,2024-01-19 14:30:00,2.7491,1.2462,5.4414
214,2024-01-19 05:30:00,2024-01-19 22:30:00,-4.5415,11.0342,0.3675
215,2024-01-19 07:30:00,2024-01-19 14:30:00,-3.0004,5.4902,4.7043
216,2024-01-19 09:30:00,2024-01-19 11:30:00,-1.2369,2.4108,0.1358
217,2024-01-19 11:30:00,2024-01-19 14:30:00,-6.6441,13.2765,0.6092
218,2024-01-19 13:30:00,2024-01-20 00:30:00,-1.6128,2.752,0.3728
219,2024-01-19 15:30:00,2024-01-20 12:30:00,1.094,8.7042,6.3185
220,2024-01-19 17:30:00,2024-01-19 20:30:00,-1.4977,1.9639,1.6016
221,2024-01-19 19:30:00,2024-01-20 06:30:00,-0.8569,1.8921,0.0835
222,2024-01-19 21:30:00,2024-01-20 14:30:00,0.4005,1.5009,5.1788
223,2024-01-19 23:30:00,2024-01-20 04:30:00,-2.7787,4.0315,8.4282
224,2024-01-20 01:30:00,2024-01-20 18:30:00,3.9553,0.4232,6.5844
225,2024-01-20 03:30:00,2024-01-20 11:30:00,7.6799,9.8059,13.3814
226,2024-01-20 05:30:00,2024-01-21 00:30:00,-1.8219,4.7778,5.1082
227,2024-01-20 07:30:00,2024-01-20 21:30:00,2.926,3.3927,3.1091
228,2024-01-20 09:30:00,2024-01-20 22:30:00,-0.6981,1.3124,2.0799
229,2024-01-20 11:30:00,2024-01-20 16:30:00,2.3274,0.267,4.1751
230,2024-01-20 13:30:00,2024-01-21 00:30:00,8.3289,5.0767,9.7141
231,2024-01-20 15:30:00,2024-01-21 11:30:00,3.0433,3.0275,3.1647
232,2024-01-20 17:30:00,2024-01-20 18:30:00,-8.3671,9.7957,0.7913
233,2024-01-20 19:30:00,2024-01-21 13:30:00,2.77,1.2581,3.0197
234,2024-01-20 21:30:00,2024-01-21 09:30:00,6.6643,6.0531,7.803
235,2024-01-20 23:30:00,2024-01-21 16:30:00,-0.608,1.4844,3.5967
236,2024-01-21 01:30:00,2024-01-21 17:30:00,5.4782,3.2485,7.1197
237,2024-01-21 03:30:00,2024-01-21 13:30:00,-2.9506,5.0338,3.5931
238,2024-01-21 05:30:00,2024-01-21 13:30:00,-6.9277,12.8165,0.2384
239,2024-01-21 07:30:00,2024-01-21 22:30:00,1.2058,2.7542,3.764
240,2024-01-21 09:30:00,2024-01-21 13:30:00,-8.2824,12.4903,2.7322
241,2024-01-21 11:30:00,2024-01-22 01:30:00,-0.6989,2.1022,3.51
242,2024-01-21 13:30:00,2024-01-21 16:30:00,6.9342,4.7747,9.7039
243,2024-01-21 15:30:00,2024-01-22 06:30:00,-9.0488,9.5067,0.3622
244,2024-01-21 17:30:00,2024-01-22 08:30:00,-5.8975,7.9707,2.7406
245,2024-01-21 19:30:00,2024-01-21 21:30:00,-4.6602,6.3526,0.5897
246,2024-01-21 21:30:00,2024-01-22 15:30:00,0.1834,1.0073,1.5981
247,2024-01-21 23:30:00,2024-01-22 09:30:00,-1.3286,3.1698,4.2258
248,2024-01-22 01:30:00,2024-01-22 20:30:00,7.4957,0.2588,11.9498
249,2024-01-22 03:30:00,2024-01-22 04:30:00,5.2717,2.3898,10.1184
250,2024-01-22 05:30:00,2024-01-22 10:30:00,2.9764,0.2707,3.1513
251,2024-01-22 07:30:00,2024-01-22 19:30:00,1.2282,1.0098,6.7662
252,2024-01-22 09:30:00,2024-01-22 14:30:00,2.4661,3.6574,2.9854
253,2024-01-22 11:30:00,2024-01-22 19:30:00,-3.8099,4.698,3.9605
254,2024-01-22 13:30:00,2024-01-23 05:30:00,4.7861,5.0708,5.2533
255,2024-01-22 15:30:00,2024-01-22 19:30:00,-5.0602,9.1758,1.3281
256,2024-01-22 17:30:00,2024-01-23 09:30:00,4.6769,1.7392,9.9404
257,2024-01-22 19:30:00,2024-01-22 22:30:00,6.4307,2.731,7.525
258,2024-01-22 21:30:00,2024-01-23 02:30:00,1.5543,0.4848,3.8276
259,2024-01-22 23:30:00,2024-01-23 13:30:00,-0.3811,7.2544,0.7699
260,2024-01-23 01:30:00,2024-01-23 20:30:00,2.5015,8.2033,9.7701
261,2024-01-23 03:30:00,2024-01-23 07:30:00,-13.8076,16.3021,1.4874
262,2024-01-23 05:30:00,2024-01-23 12:30:00,2.0113,9.7721,2.3205
263,2024-01-23 07:30:00,2024-01-24 05:30:00,-0.0668,0.1073,0.7146
264,2024-01-23 09:30:00,2024-01-24 08:30:00,0.2469,1.7532,0.5555
265,2024-01-23 11:30:00,2024-01-24 01:30:00,4.0327,0.1289,9.1269
266,2024-01-23 13:30:00,2024-01-24 00:30:00,0.1262,1.3415,6.5603
267,2024-01-23 15:30:00,2024-01-23 23:30:00,-5.201,14.1372,0.1024
268,2024-01-23 17:30:00,2024-01-24 08:30:00,-0.207,1.3635,0.169
269,2024-01-23 19:30:00,2024-01-24 09:30:00,0.8378,0.579,2.3092
270,2024-01-23 21:30:00,2024-01-24 04:30:00,1.0747,0.6954,6.9935
271,2024-01-23 23:30:00,2024-01-24 00:30:00,1.3096,5.4201,6.6726
272,2024-01-24 01:30:00,2024-01-24 05:30:00,5.6968,4.9919,7.3789
273,2024-01-24 03:30:00,2024-01-25 02:30:00,-4.9302,5.4737,2.1883
274,2024-01-24 05:30:00,2024-01-24 15:30:00,1.3785,3.6274,3.2985
275,2024-01-24 07:30:00,2024-01-24 19:30:00,6.9496,1.3858,9.4615
276,2024-01-24 09:30:00,2024-01-24 20:30:00,-8.1731,15.3368,3.648
277,2024-01-24 11:30:00,2024-01-25 06:30:00,1.3982,4.0664,5.5967
278,2024-01-24 13:30:00,2024-01-24 15:30:00,-2.4269,4.6233,1.0361
279,2024-01-24 15:30:00,2024-01-24 17:30:00,-1.3536,8.9601,6.8549
280,2024-01-24 17:30:00,2024-01-25 00:30:00,-4.024,11.899,1.3475
281,2024-01-24 19:30:00,2024-01-25 07:30:00,-0.3478,2.2399,6.4689
282,2024-01-24 21:30:00,2024-01-25 13:30:00,9.7063,1.9473,13.6534
283,2024-01-24 23:30:00,2024-01-25 11:30:00,-5.8222,6.076,1.2528
284,2024-01-25 01:30:00,2024-01-25 12:30:00,-5.3481,6.4942,1.122
285,2024-01-25 03:30:00,2024-01-26 01:30:00,-6.0097,8.4686,1.6139
286,2024-01-25 05:30:00,2024-01-25 09:30:00,9.1371,2.4712,9.9946
287,2024-01-25 07:30:00,2024-01-25 21:30:00,-1.8117,4.9797,0.9096
288,2024-01-25 09:30:00,2024-01-25 22:30:00,0.3718,5.253,6.8921
289,2024-01-25 11:30:00,2024-01-25 22:30:00,-1.5139,4.1981,0.9321
290,2024-01-25 13:30:00,2024-01-26 08:30:00,-4.2221,12.072,5.2353
291,2024-01-25 15:30:00,2024-01-25 22:30:00,-0.6758,0.8669,0.6905
292,2024-01-25 17:30:00,2024-01-26 15:30:00,12.7912,7.212,14.7143
293,2024-01-25 19:30:00,2024-01-26 03:30:00,7.4604,0.9048,11.1459
294,2024-01-25 21:30:00,2024-01-26 10:30:00,-3.7647,6.4632,0.2043
295,2024-01-25 23:30:00,2024-01-26 11:30:00,3.7379,5.8513,7.4416
296,2024-01-26 01:30:00,2024-01-26 21:30:00,-3.6576,9.8632,4.1393
297,2024-01-26 03:30:00,2024-01-26 14:30:00,-8.3818,9.1,3.3191
298,2024-01-26 05:30:00,2024-01-26 12:30:00,5.5976,1.005,11.0031
299,2024-01-26 07:30:00,2024-01-26 08:30:00,6.3005,0.7174,7.6199
300,2024-01-26 09:30:00,2024-01-26 18:30:00,5.7303,1.6384,10.293
301,2024-01-26 11:30:00,2024-01-27 07:30:00,-1.8493,4.1728,3.8669
302,2024-01-26 13:30:00,2024-01-26 14:30:00,-0.3339,1.2797,1.8952
303,2024-01-26 15:30:00,2024-01-27 12:30:00,4.2488,3.4567,5.7578
304,2024-01-26 17:30:00,2024-01-27 06:30:00,2.4575,0.2574,2.5235
305,2024-01-26 19:30:00,2024-01-26 23:30:00,-1.4682,5.5787,2.5586
306,2024-01-26 21:30:00,2024-01-27 04:30:00,-7.5954,8.9687,4.0958
307,2024-01-26 23:30:00,2024-01-27 12:30:00,1.0694,1.0177,3.0297
308,2024-01-27 01:30:00,2024-01-27 09:30:00,5.895,0.7923,8.8293
309,2024-01-27 03:30:00,2024-01-27 06:30:00,-5.4879,5.6578,1.1509
310,2024-01-27 05:30:00,2024-01-27 21:30:00,3.6938,6.2268,7.2698
311,2024-01-27 07:30:00,2024-01-27 23:30:00,2.1577,1.4193,4.8289
312,2024-01-27 09:30:00,2024-01-27 12:30:00,4.2507,4.1625,4.6258
313,2024-01-27 11:30:00,2024-01-27 18:30:00,4.8599,2.1412,8.6684
314,2024-01-27 13:30:00,2024-01-27 19:30:00,-2.9723,5.7068,2.4002
315,2024-01-27 15:30:00,2024-01-28 07:30:00,-7.5848,7.7819,0.8592
316,2024-01-27 17:30:00,2024-01-28 10:30:00,-2.1676,3.1123,0.265
317,2024-01-27 19:30:00,2024-01-28 12:30:00,4.9456,1.9828,8.383
318,2024-01-27 21:30:00,2024-01-28 19:30:00,-2.21,2.648,6.252
319,2024-01-27 23:30:00,2024-01-28 17:30:00,-2.9702,5.9645,1.8858
320,2024-01-28 01:30:00,2024-01-28 09:30:00,-8.6068,11.9791,3.6622
321,2024-01-28 03:30:00,2024-01-28 06:30:00,9.2632,8.5181,11.5967
322,2024-01-28 05:30:00,2024-01-28 20:30:00,4.6286,2.8346,7.3651
